"AID,A,10","AISTITLE,L,1","HEADING1,A,40","HEADING2,A,40","ASECONDID,A,10","AFREE,A,40","ACAT,A,3","AINTCAT,A,10","ACATCOMM,A,1","ADBCD,A,1","AISCOST,L,1","AVATTYPE,A,1","AVATENAT1,A,3","AVATENAT2,A,3","AVATECMP,N,8","AVATNNAT1,A,3","AVATNNAT2,A,3","AVATNCMP,N,8","AVATINAT1,A,3","AVATINAT2,A,3","AVATICMP,N,8","AISSUMMARY,L,1","AISSTATUS,L,1","AISREADONL,L,1","AISSECRET,L,1","VTRAVFA,L,1","AISMATCH,L,1","DEPACC,A,10","PROVACC,A,10","HISINTRASTAT,L,1","AMATCHNO,I,4","ABALANCE,A,10","AREM,A,35","AVATCAS,L,1","ACCTSECONDID,L,1","AMEMO,M,11","CREATEDATE,@,8","MODIFYDATE,@,8","AUTHOR,A,10","PRCNDCHARGES,N,8","PRCPRIVATE,N,8","COSTRDEP,L,1","COST_DEP,A,8","COSTRPROD,L,1","COST_PROD,A,10","COSTRPROJ,L,1","COST_PROJ,A,8","TYPENDCHARGES,A,3","CREATEDBY,A,10","CREATEDON,@,8","MODIFIEDBY,A,10","MODIFIEDON,@,8","TRFTSTATUS,A,3","STATIONID,A,3","AFIXTYPE,A,10","ASLEEPING,L,1","DISCADVNOT,L,1"
415000,0,PROJET JNES EXPORTATEUR 2001-2002,,,,,,,,0,,,,,,,,,,,0,0,0,0,0,1,,,0,2,,,0,0,,,,,,,0,,0,,0,,,SCHILS,2004-08-30 12:16:21,SCHILS,2007-03-02 10:25:59,A,000,,0,0
416000,0,C/C CCILg  A/P liquides,,,,,,,,0,,,,,,,,,,,0,0,0,0,0,1,,,0,3,,,0,0,,,,,,,0,,0,,0,,,SCHILS,2004-09-29 12:48:59,SCHILS,2007-03-02 10:25:59,A,000,,0,0
416002,0,CREANCES DIVERSES (L),,,,,,,,0,,,,,,,,,,,0,0,0,0,0,1,,,0,4,,,0,0,,,,,,,0,,0,,0,,,SCHILS,2004-11-04 16:47:39,SCHILS,2007-03-02 10:25:59,A,000,,0,0
416100,0,C/C CCIAV A/P liquides,,,,,,,,0,,,,,,,,,,,0,0,0,0,0,1,,,0,2,,,0,0,,,,,,,0,,0,,0,,,SCHILS,2004-09-29 13:01:40,SCHILS,2007-03-02 10:25:59,A,000,,0,0
416300,0,AVANCES ET PRETS AU PERSONNEL,,,,,,,,0,,,,,,,,,,,0,0,0,0,0,1,,,0,2,ASSETS,,0,0,,1998-12-26 14:06:24,1998-12-26 14:06:24,NEURAY,,,0,,0,,0,,,,,SCHILS,2007-03-02 10:25:59,M,,,0,0
416600,0,DEBITEURS DIVERS,,,,,,,,0,,,,,,,,,,,0,0,0,0,0,1,,,0,2,,,0,0,,,,,,,0,,0,,0,,,SCHILS,2006-02-06 16:46:45,SCHILS,2007-03-02 10:25:59,A,000,,0,0
416700,0,GECCI avances,,,,,,,,0,,,,,,,,,,,0,0,0,0,0,1,,,0,235,,,0,0,,,,,,,0,,0,,0,,,SCHILS,2006-02-27 16:25:45,NEURAY,2007-05-14 16:52:15,A,000,,0,0
418802,0,SIE 2003 (L),,,,,,,,0,,,,,,,,,,,0,0,0,0,0,1,,,0,3,,,0,0,,,,,,,0,,0,,0,,,SCHILS,2004-11-04 16:43:35,SCHILS,2007-03-02 10:25:59,A,000,,0,0
42,1,DETTES A + 1AN ECHEANT DS ANNEE,,,,,,,,0,,,,,,,,,,,0,0,0,0,0,0,,,0,,ASSETS,,0,0,,2002-02-21 16:32:45,2002-02-22 15:44:05,NEURAY,,,0,,0,,0,,,,,SCHILS,2007-03-02 10:25:59,M,,,0,0
423000,0,Financement  Renault PVDM,,,,,,,,0,,,,,,,,,,,0,0,0,0,0,1,,,0,152,ASSETS,,0,0,,2002-02-22 15:44:15,2004-02-12 10:16:33,NEURAY,,,0,,0,,0,,,,,SCHILS,2008-01-23 11:38:38,M,,,0,0
423004,0,Financement Audi A3 MP,,,,,,,,0,,,,,,,,,,,0,0,0,0,0,1,,,0,243,,,0,0,,,,,,,0,,0,,0,,,SCHILS,2004-08-30 12:26:22,SCHILS,2008-01-18 14:36:35,A,000,,0,0
423005,0,Financement Renault,,,,,,,,0,,,,,,,,,,,0,0,1,0,0,1,,,0,17,,,0,0,,,,,,,0,,0,,0,,,SCHILS,2004-08-30 12:27:03,SCHILS,2007-03-02 10:25:59,A,000,,0,0
423100,0,Financement VW  JML,,,,,,,,0,,,,,,,,,,,0,0,0,0,0,1,,,0,254,ASSETS,,0,0,,2002-04-23 15:55:46,2004-02-12 10:16:51,NEURAY,,,0,,0,,0,,,,,SCHILS,2008-01-18 14:36:52,M,,,0,0
423200,0,Financement Renault PN,,,,,,,,0,,,,,,,,,,,0,0,0,0,0,1,,,0,250,ASSETS,,0,0,,2002-12-20 10:58:29,2004-02-12 10:17:28,NEURAY,,,0,,0,,0,,,,,SCHILS,2008-06-16 11:59:21,M,,,0,0
423300,0,Financement Golf GB,,,,,,,D,0,,,,,,,,,,,0,0,0,0,0,1,,,0,255,FXASSETS,,0,0,,2003-06-12 16:39:00,2004-02-12 10:17:41,NEURAY,,,0,,0,,0,,,,,SCHILS,2008-06-16 11:59:32,M,,,0,0
423400,0,Financement Renault PO,,,,,,,,0,,,,,,,,,,,0,0,0,0,0,1,,,0,244,ASSETS,,0,0,,2004-02-12 10:18:01,2004-02-12 10:18:15,SCHILS,,,0,,0,,0,,,,,SCHILS,2008-01-18 14:37:30,M,,,0,0
423500,0,Financement Alfa XC,,,,,,,,0,,,,,,,,,,,0,0,0,0,0,1,,,0,249,ASSETS,,0,0,,2004-02-12 10:18:15,2004-02-12 10:18:32,SCHILS,,,0,,0,,0,,,,,SCHILS,2008-01-18 14:37:37,M,,,0,0
423600,0,Financement Polo EF,,,,,,,,0,,,,,,,,,,,0,0,0,0,0,1,,,0,248,ASSETS,,0,0,,2004-02-12 10:18:32,2004-02-12 10:18:57,SCHILS,,,0,,0,,0,,,,,SCHILS,2008-01-18 14:37:50,M,,,0,0
423700,0,Financement Peugeot JPT,,,,,,,,0,,,,,,,,,,,0,0,0,0,0,1,,,0,245,ASSETS,,0,0,,,,,,,0,,0,,0,,,SCHILS,2004-11-05 13:13:01,SCHILS,2008-01-18 14:38:01,A,000,,0,0
423800,0,Financement VW DW,,,,,,,,0,,,,,,,,,,,0,0,0,0,0,1,,,0,246,ASSETS,,0,0,,,,,,,0,,0,,0,,,SCHILS,2005-02-08 08:47:17,SCHILS,2008-01-18 14:38:11,A,000,,0,0
423900,0,Financement  3 véhicules COMMER,,,,,,,,0,,,,,,,,,,,0,0,0,0,0,1,,,0,1,ASSETS,,0,0,,,,,,,0,COMMERC,0,,0,,,SCHILS,2008-01-23 11:31:54,SCHILS,2008-03-14 08:54:06,A,000,,0,0
433000,0,DETTES FINANCIERES,,,,,,,C,0,,,,,,,,,,,0,0,0,0,0,1,,,0,21,LIABILIT,,0,0,,2001-01-09 11:54:05,2004-02-12 10:19:17,SCHILS,,,0,,0,,0,,,,,SCHILS,2007-03-02 10:25:59,M,,,0,0
437000,0,INT ET FRAIS A PAYER,,,,,,,,0,,,,,,,,,,,0,0,0,0,0,1,,,0,5,,,0,0,,,,,,,0,,0,,0,,,SCHILS,2006-02-06 16:21:32,SCHILS,2008-06-16 11:59:47,A,000,,0,0
44,1,DETTES COMMERCIALES,,,,,,,,0,,,,,,,,,,,0,0,0,0,0,0,,,0,,LIABILIT,,0,0,,1998-12-26 14:06:24,1998-12-26 14:06:24,NEURAY,,,0,,0,,0,,,,,SCHILS,2007-03-02 10:25:59,M,,,0,0
440000,0,FOURNISSEURS,,,,CT,COLLECSUP,,C,0,,,,,,,,,,,1,0,0,0,0,0,,,0,1,LIABILIT,,0,0,,1998-12-26 14:06:24,2000-04-12 17:13:20,NEURAY,,,0,,0,,0,,,,,SCHILS,2007-11-07 08:23:29,M,,,0,0
440001,0,FOURNISSEURS LIEGE,,,,,,,,0,,,,,,,,,,,0,0,0,0,0,1,,,0,22,,,0,0,,,,,,,0,,0,,0,,,SCHILS,2004-08-30 11:28:49,SCHILS,2007-03-02 10:25:59,A,000,,0,0
440002,0,FOURNISSEURS VERVIERS,,,,,,,,0,,,,,,,,,,,0,0,0,0,0,1,,,0,24,,,0,0,,,,,,,0,,0,,0,,,SCHILS,2004-08-30 12:27:56,SCHILS,2007-03-02 10:25:59,A,000,,0,0
440500,0,NOTES DE CREDIT A ETABLIR,,,,,,,,0,,,,,,,,,,,0,0,0,0,0,1,,,0,51,LIABILIT,,0,0,,2004-02-12 10:19:46,2004-02-12 10:20:09,SCHILS,,,0,,0,,0,,,,,SCHILS,2008-04-24 16:53:08,M,,,0,0
440501,0,NCR A ETABLIR (v),,,,,,,,0,,,,,,,,,,,0,0,0,0,0,1,,,0,2,,,0,0,,,,,,,0,,0,,0,,,SCHILS,2004-11-02 10:34:57,SCHILS,2007-03-02 10:25:59,A,000,,0,0
442000,0,AUTRES DETTES A PAYER,,,,,,,,0,,,,,,,,,,,0,0,0,0,0,1,,,0,26,,,0,0,,,,,,,0,,0,,0,,,SCHILS,2004-08-30 11:29:26,SCHILS,2007-03-02 10:25:59,A,000,,0,0
444000,0,FACTURES A RECEVOIR,,,,,,,C,0,,,,,,,,,,,0,0,0,0,0,1,,,0,433,LIABILIT,,0,0,,1998-12-26 14:06:24,2000-04-06 17:11:40,NEURAY,,,0,,0,,0,,,,,SCHILS,2008-07-31 15:32:42,M,,,0,0
444001,0,FACTURES A RECEVOIR (v),,,,,,,,0,,,,,,,,,,,0,0,0,0,0,1,,,0,2,,,0,0,,,,,,,0,,0,,0,,,SCHILS,2004-11-02 10:34:10,SCHILS,2007-03-02 10:25:59,A,000,,0,0
444002,0,FACTURES A RECEVOIR (L),,,,,,,,0,,,,,,,,,,,0,0,0,0,0,1,,,0,2,,,0,0,,,,,,,0,,0,,0,,,SCHILS,2004-11-04 17:08:45,SCHILS,2007-03-02 10:25:59,A,000,,0,0
45,1,"DETTES/PROV. FISCALES,SOCIALES",,,,,,,,0,,,,,,,,,,,0,0,0,0,0,0,,,0,,LIABILIT,,0,0,,1998-12-26 14:06:24,1998-12-26 14:06:24,NEURAY,,,0,,0,,0,,,,,SCHILS,2007-03-02 10:25:59,M,,,0,0
450150,0,TVA A PAYER REGUL 10%,,,,,,,,0,,,,,,,,,,,0,0,0,0,0,0,,,0,,,,0,0,,,,,,,0,,0,,0,,,SCHILS,2004-08-30 12:34:22,SCHILS,2007-03-02 10:25:59,A,000,,0,0
450160,0,TVA à régulariser,,,,,,,,0,,,,,,,,,,,0,0,0,0,0,1,,,0,92,,,0,0,,,,,,,0,,0,,0,,,SCHILS,2005-08-09 11:28:41,SCHILS,2007-03-26 09:37:06,A,000,,0,0
451000,0,TVA A PAYER,,,,,VATDEF,,,0,,,,,,,,,,,0,0,0,0,0,1,,,0,6,LIABILIT,,0,0,,1998-12-26 14:06:24,2002-03-20 08:22:45,NEURAY,,,0,,0,,0,,,,,SCHILS,2007-11-07 08:23:29,M,,,0,0
451100,0,TVA INTRA COMMUNAUTAIRE,,,,,VATDEF,,C,0,,,,,,,,,,,0,0,0,0,0,1,,,0,13,LIABILIT,,0,0,,1998-12-26 14:06:24,2004-02-12 10:21:30,NEURAY,,,0,,0,,0,,,,,SCHILS,2008-01-23 14:42:47,M,,,0,0
451150,0,TVA à Régulariser,,,,,,,,0,,,,,,,,,,,0,0,0,0,0,0,,,0,,,,0,0,,,,,,,0,,0,,0,,,SCHILS,2006-04-11 12:03:29,SCHILS,2007-03-02 10:25:59,A,000,,0,0
451200,0,COMPTE COURANT TVA,,,,,,,C,0,,,,,,,,,,,1,0,0,0,0,1,,,0,275,LIABILIT,,0,0,,1998-12-26 14:06:24,2004-02-12 10:21:25,NEURAY,,,0,,0,,0,,,,,NEURAY,2007-05-14 16:52:16,M,,,0,0
451201,0,COMPTE COURANT TVA (v),,,,,,,,0,,,,,,,,,,,0,0,0,0,0,1,,,0,2,,,0,0,,,,,,,0,,0,,0,,,SCHILS,2004-11-02 10:36:29,SCHILS,2007-03-02 10:25:59,A,000,,0,0
451202,0,COMPTE COURANT TVA (L),,,,,,,,0,,,,,,,,,,,0,0,0,0,0,1,,,0,28,,,0,0,,,,,,,0,,0,,0,,,SCHILS,2004-11-04 17:13:50,SCHILS,2007-03-02 10:25:59,A,000,,0,0
451300,0,TVA COCONTRACTANT,,,,,VATDEF,,C,0,,,,,,,,,,,1,0,0,0,0,1,,,0,14,LIABILIT,,0,0,,1998-12-26 14:06:24,1998-12-26 14:06:24,NEURAY,,,0,,0,,0,,,,,SCHILS,2007-11-07 08:23:29,M,,,0,0
451500,0,Report TVA,,,,,VATDEF,,,0,,,,,,,,,,,0,0,0,0,0,0,,,0,,,,0,0,,2004-02-12 14:37:22,2004-02-12 14:37:30,SCHILS,,,0,,0,,0,,,,,SCHILS,2007-11-07 08:23:29,M,,,0,0
