state,period_id:id,ref,id,journal_id:id
draft,period_2002-1,,move_DI1200220020005,journal_DI1
draft,period_2002-1,,move_DI1200220020005,journal_DI1
draft,period_2001-1,,move_DI2200120010001,journal_DI2
draft,period_2001-1,,move_DI2200120010001,journal_DI2
draft,period_2001-1,,move_DI2200120010001,journal_DI2
draft,period_2001-1,,move_DI2200120010001,journal_DI2
draft,period_2001-1,,move_DI2200120010001,journal_DI2
draft,period_2001-1,,move_DI2200120010001,journal_DI2
draft,period_2001-1,,move_DI2200120010001,journal_DI2
draft,period_2001-1,,move_DI2200120010001,journal_DI2
draft,period_2001-1,,move_DI2200120010001,journal_DI2
draft,period_2001-1,,move_DI2200120010001,journal_DI2
draft,period_2001-1,,move_DI2200120010001,journal_DI2
draft,period_2001-1,,move_FAC200120010001,journal_FAC
draft,period_2001-1,,move_FAC200120010002,journal_FAC
draft,period_2001-1,,move_FAC200120010003,journal_FAC
draft,period_2001-1,,move_FAC200120010004,journal_FAC
draft,period_2001-1,,move_FAC200120010005,journal_FAC
draft,period_2001-2,,move_FAC200120010006,journal_FAC
draft,period_2001-2,,move_FAC200120010007,journal_FAC
draft,period_2001-3,,move_FAC200120010008,journal_FAC
draft,period_2001-3,,move_FAC200120010009,journal_FAC
draft,period_2001-3,,move_FAC200120010010,journal_FAC
draft,period_2001-3,,move_FAC200120010011,journal_FAC
draft,period_2001-4,,move_FAC200120010012,journal_FAC
draft,period_2001-5,,move_FAC200120010013,journal_FAC
draft,period_2001-5,,move_FAC200120010014,journal_FAC
draft,period_2001-6,,move_FAC200120010015,journal_FAC
draft,period_2001-6,,move_FAC200120010016,journal_FAC
draft,period_2001-6,,move_FAC200120010017,journal_FAC
draft,period_2001-6,,move_FAC200120010018,journal_FAC
draft,period_2001-6,,move_FAC200120010019,journal_FAC
draft,period_2001-6,,move_FAC200120010020,journal_FAC
draft,period_2001-6,,move_FAC200120010021,journal_FAC
draft,period_2001-6,,move_FAC200120010022,journal_FAC
draft,period_2001-7,,move_FAC200120010023,journal_FAC
draft,period_2001-7,,move_FAC200120010024,journal_FAC
draft,period_2001-7,,move_FAC200120010025,journal_FAC
draft,period_2001-7,,move_FAC200120010026,journal_FAC
draft,period_2001-7,,move_FAC200120010027,journal_FAC
draft,period_2001-7,,move_FAC200120010028,journal_FAC
draft,period_2003-2,,move_FAC20032003001,journal_FAC
draft,period_2003-2,,move_FAC20032003002,journal_FAC
draft,period_2003-3,,move_FAC20032003003,journal_FAC
draft,period_2003-3,,move_FAC20032003004,journal_FAC
draft,period_2003-3,,move_FAC20032003005,journal_FAC
draft,period_2003-3,,move_FAC20032003006,journal_FAC
draft,period_2004-1,,move_FAC20042004012,journal_FAC
draft,period_2004-1,,move_FAC20042004013,journal_FAC
draft,period_2004-2,,move_FAC20042004014,journal_FAC
draft,period_2004-2,,move_FAC20042004015,journal_FAC
draft,period_2004-3,,move_FAC20042004016,journal_FAC
draft,period_2001-1,,move_GB1200120010001,journal_GB1
draft,period_2001-1,,move_GB1200120010002,journal_GB1
draft,period_2001-1,,move_GB1200120010008,journal_GB1
draft,period_2001-1,,move_GB1200120010008,journal_GB1
draft,period_2001-1,,move_GB1200120010008,journal_GB1
draft,period_2001-1,,move_GB1200120010008,journal_GB1
draft,period_2001-1,,move_GB1200120010010,journal_GB1
draft,period_2001-1,,move_GB1200120010010,journal_GB1
draft,period_2001-1,,move_GB1200120010010,journal_GB1
draft,period_2001-1,,move_GB1200120010010,journal_GB1
draft,period_2001-1,,move_GB1200120010010,journal_GB1
draft,period_2001-1,,move_GB1200120010010,journal_GB1
draft,period_2001-1,,move_GB1200120010010,journal_GB1
draft,period_2001-1,,move_GB1200120010010,journal_GB1
draft,period_2001-1,,move_GB1200120010010,journal_GB1
